a 阿啊
mu 目幕暮墓慕木模母姥牧亩
na 那哪呢南纳拿
nai 耐乃哪奶
nan 难男南
nang 囊
nao 闹脑挠努恼
ne 哪呢
nei 那内哪
nen 嫩
neng 能
ni 尼尿呢你逆泥
nian 酿粘年念
niang 酿娘
niao 尿鸟
nie 捏
nin 您
ning 宁凝
niu 扭纽牛
nong 弄农浓
nu 女奴努怒
nuan 暖
nuo 挪
nv 女
ou 区欧偶
pa 趴扒爬派怕
pai 排拍牌迫派
pan 盼般盘胖攀番判叛
pang 胖膀乓旁
pao 跑抛泡炮袍
pei 陪配赔培佩
pen 喷盆
peng 碰朋膨捧蓬棚
pi 否辟匹劈皮脾披批坏僻疲
pian 骗片偏便篇扁
piao 飘票朴漂
pie 撇
pin 品拼苹贫
ping 平苹萍乒凭瓶评
po 破魄坡朴迫繁婆泼泊
pou 剖
pu 暴扑葡朴仆堡铺谱普
qi 砌骑岂器妻七起其期欺奇棋戚乞气企启旗弃齐漆汽
qia 卡洽恰
qian 遣牵千迁纤签欠铅钳钱歉前谦潜浅渐
qiang 强腔抢墙枪将
qiao 巧瞧壳蕉桥乔侨锹敲雀悄
qie 砌窃且切茄
qin 琴勤芹侵禽亲
qing 青顷蜻晴轻倾庆请清情亲
qiong 穷
qiu 球求秋丘仇龟
qu 屈区驱取曲趣去趋渠
quan 劝圈权犬泉全券拳
que 确却鹊缺雀
qun 群裙
ran 然染燃
rang 嚷壤让
rao 扰绕饶
re 热若惹
ren 刃忍仁任人认
reng 扔仍
ri 日
rong 容融荣绒熔
rou 柔肉揉
ru 辱入如乳
ruan 软
rui 瑞锐
run 润
ruo 弱若
sa 撒洒
sai 赛塞思
san 三散伞
sang 桑嗓丧
sao 扫梢嫂
se 塞色
sen 森
sha 厦傻杀纱券沙
shai 晒筛色
shan 陕扇山删闪善单衫
shang 上晌伤汤尚赏裳商
shao 召哨捎梢稍绍勺烧少
she 蛇射摄折舌舍设涉社
shei 谁
shen 肾申甚身伸什参婶审深沈渗慎神
sheng 圣胜声剩乘盛生升绳牲省
shi 示尸石驶师室实史匙是时十势事誓逝拾士式世柿释失适似什氏侍使食蚀殖饰始狮市施识试诗湿视
shou 寿收授手售熟守首兽受瘦
shu 书疏属竖叔暑蔬薯树束术梳述输数舒殊鼠熟
shua 耍刷
shuai 帅甩摔衰率
shuan 拴
shuang 双霜爽
shui 水睡税谁说
shun 顺
shuo 数说
si 死司肆厕四思撕寺斯私似食丝饲
song 松颂宋诵送
sou 嗽艘搜
su 肃宿素苏速俗缩塑诉
suan 酸蒜算
sui 随尿碎岁虽穗
sun 孙损笋
suo 索所缩锁
ta 踏塌塔他她它
tai 泰抬太态台
tan 弹炭叹摊探坛坦毯贪谈滩淡痰
tang 唐膛躺塘趟糖倘汤烫堂
tao 陶叨掏萄套桃逃讨涛淘滔
te 特
teng 腾疼
ti 踢蹄题提替梯体剃惕
tian 天田填甜添
tiao 跳挑条调
tie 帖蝴贴铁
ting 厅庭蜓听艇挺停亭
tong 通同桶桐筒统铜痛童
tou 投透偷头
tu 屠突吐图土秃徒途兔涂
tuan 团
tui 退腿推
tun 吞屯
tuo 驼魄脱拖托妥
wa 瓦蛙挖娃袜
wai 歪外
wan 顽万丸玩碗完晚挽弯湾
wang 望王网旺芒往亡妄忘汪
wei 未卫慰尾味喂遗围唯畏胃违威委微伟循伪位维危为
wen 蚊稳纹文闻问温
weng 翁
wo 卧窝握我沃
wu 五武无恶屋雾吴呜午舞伍侮勿务乌物亡误污悟
xi 西习隙席戏吸腊膝喜析稀袭息悉系希细夕牺锡洗溪熄惜
xia 下夏厦霞峡吓虾瞎狭
xian 限险陷弦现贤宪见显县掀献咸先仙衔线纤馅嫌鲜闲羡洗
xiang 降项响巷相想橡向香像箱乡象享详祥
xiao 宵晓孝校笑销消小削效
xie 邪屑些写叶歇胁协携鞋械血卸斜解谢泻泄
xin 寻寨薪欣信心辛新
xing 刑形醒星腥幸型杏行姓兴省性
xiong 雄兄胸凶熊
xiu 宿朽臭秀休修绣锈羞袖
xu 序虚需蓄须徐续绪叙絮畜许
xuan 宣暖悬选旋券
xue 雪血穴学削
xun 迅寻巡循旬讯训询
ya 亚牙匹雅鸦压崖哑呀瞧鸭押芽轧
yan 严厌雁研验岩宴咽眼掩艳盐燕延铅言沿演淹烟焰炎颜
yang 阳央扬杨秧样氧仰殃羊养洋痒
yao 要陶窑咬邀腰摇药约妖钥谣遥耀
ye 页也邪咽叶哗野爷夜冶液业
yi 一乙翼已异尾医以蛇遗蛾蚁易艺椅移亿集役倚疑依仪台姨亦宜衣义译谊益议忆疫意毅
yin 阴隐引因印饮姻银烟音
ying 赢盈鹰硬蝇映影营英樱迎应
yo 育
yong 庸勇咏用拥佣永涌泳
you 右有友又由邮尤优悠幼犹诱油游忧
yu 雨于羽粥予预玉与屿遇愚域榆御余欲愈谷娱鱼狱宇育语浴誉渔愉裕
yuan 元远院原愿冤园圆员援缘怨源
yue 阅跃月越乐约钥说悦
yun 云运孕员晕均允匀韵
za 杂咱扎
zai 再在宰栽载仔灾
zan 咱赞暂
zang 脏藏葬
zao 躁早造遭枣糟皂澡燥灶
ze 责则择侧泽
zei 贼
zen 怎
zeng 赠增曾
zha 蜡眨扎榨查轧闸渣炸
zhai 寨窄择摘侧债宅
zhan 展占战崭盏粘斩颤沾站
zhang 障张帐胀丈长仗涨掌章
zhao 召照罩招朝找赵著爪兆着
zhe 遮折哲者著这着浙
zhei 这
zhen 阵珍贞震振真枕侦针镇诊
zheng 丁正政睁挣蒸整征筝争证郑症
zhi 至廉职止帜蜘只置肢脂支执直指址志芝枝植秩制智质知旨值氏侄织致纸殖识之汁治
zhong 中忠肿董重种众终钟
zhou 粥昼骤周舟皱宙州洲
zhu 逐属珠驻嘱蛛助煮著株术柱朱竹住筑铸猪主诸注烛祝
zhua 抓爪
zhuai 转
zhuan 专砖赚转传
zhuang 撞庄壮状装
zhui 追
zhun 屯准
zhuo 桌啄捉著缴着浊
zi 子紫字自仔资姿滋
zong 宗踪棕纵总
zou 奏走
zu 阻足租组族祖
zuan 赚钻
zui 嘴最罪醉堆
zun 尊遵
zuo 左座昨做作坐
